Use_Code,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,350177,1951,6349,1085,1,3,603374
SingleFamily,65240,1916,4791,1600,2,3,1123270
SingleFamily,938400,1960,16618,2905,3,4,955339
SingleFamily,664e3,1973,8934,1446,2,3,722850
SingleFamily,227494,1912,5587,1195,2,3,836730
SingleFamily,346003,1955,7538,1658,2,4,603177
SingleFamily,464755,1910,6647,2496,1,3,714777
SingleFamily,379955,1924,9779,1434,2,3,621639
SingleFamily,369691,1944,5997,1012,1,3,824003
SingleFamily,336463,1954,7551,1680,3,3,599735
SingleFamily,254256,1951,7453,1986,3,3,996745
SingleFamily,2109360,1915,7172,2211,3,3,2265912
SingleFamily,373477,1951,8415,1058,1,3,413900
SingleFamily,205267,1951,6889,1391,1,2,785276
SingleFamily,821100,1936,6534,1361,2,3,951440
Duplex,169843,1916,5287,1618,2,2,541370
SingleFamily,1296895,1998,9948,3747,4,4,2394493
SingleFamily,172069,1922,7499,860,1,2,567646
SingleFamily,1529585,1940,7425,2359,3,4,2127094
SingleFamily,324270,1921,5227,1226,2,3,505378
SingleFamily,557190,1990,19049,2814,3,4,885266
SingleFamily,251379,1926,4599,1032,1,3,610963
SingleFamily,723914,1956,6932,2800,3,5,1710654
SingleFamily,313850,1935,6751,1046,1,2,559068
SingleFamily,354990,1956,7476,1969,2,4,607069
Duplex,853675,2000,6912,2664,4,6,899227
SingleFamily,198048,1922,3049,1330,4,4,419214
Condominium,581880,1998,10814,3001,5,5,1078822
SingleFamily,378786,1951,13068,1575,2,2,578415
SingleFamily,94968,1961,4402,1410,2,3,1111460
SingleFamily,109835,1965,13454,1889,3,4,1290688
SingleFamily,508054,1923,6556,1938,2,3,1838907
SingleFamily,408364,1962,7198,1640,2,3,566320
SingleFamily,337790,1960,7840,1164,2,3,512109
SingleFamily,118739,1911,5300,1008,1,1,1085294
SingleFamily,794375,2005,5662,2134,3,4,1052881
SingleFamily,1034080,1986,20984,3064,3,4,959851
SingleFamily,669180,1952,14689,2498,3,3,1419337
SingleFamily,282933,1958,8073,1168,2,3,541098
SingleFamily,155083,1912,6800,1443,1,3,681195
SingleFamily,203813,1926,7770,1718,2,3,2032792
SingleFamily,445497,1952,5402,999,1,2,575937
SingleFamily,727178,1931,25918,2600,3,3,4586500
SingleFamily,41e4,1925,4033,988,2,3,433606
Duplex,214030,1924,5409,1500,2,4,457787
SingleFamily,327072,1955,7045,1336,2,3,525897
SingleFamily,601800,1928,5669,1244,3,4,590468
SingleFamily,80738,1959,6859,1587,2,3,695353
SingleFamily,484813,1910,6490,770,1,2,503289
SingleFamily,425557,1923,3628,822,1,2,659969
SingleFamily,97798,1955,6893,1133,2,3,716537
Duplex,233607,1907,7499,1200,2,2,937429
SingleFamily,441848,1962,11005,2359,2,3,947042
SingleFamily,867066,1948,6581,3033,4,7,2171172
SingleFamily,2856e3,1973,5923,3644,5,4,3119540
Duplex,375204,1940,7537,2864,4,7,889071
SingleFamily,534119,1956,7004,1324,2,3,560409
SingleFamily,158535,1960,16804,2176,3,4,798641
SingleFamily,187948,1949,9752,3296,4,4,1518918
SingleFamily,612e3,1961,5450,1180,2,3,661679
SingleFamily,229220,1937,9042,2594,3,5,4018472
SingleFamily,479310,1958,7613,2036,2,3,639655
SingleFamily,186918,1933,4080,2346,3,4,598301
Condominium,160368,1971,311190,1140,2,2,358620
SingleFamily,174170,1948,5051,883,1,2,722631
SingleFamily,372289,1966,7718,2310,3,5,763077
SingleFamily,4112589,2005,26576,6595,5.5,5,6124331
SingleFamily,561202,1951,8043,1942,3,2,942950
SingleFamily,796946,1929,6250,2662,3,4,1337684
MultiFamily2To4,332928,1922,5314,1708,2,3,464538
SingleFamily,326665,1930,6245,1567,2,3,614841
SingleFamily,264712,1951,5662,1040,1,3,533882
SingleFamily,966526,1945,6650,1576,2,3,1347612
SingleFamily,65447,1937,5975,1604,2,3,767150
SingleFamily,547738,1976,17518,2217,3,4,817334
SingleFamily,566582,1956,13667,3551,4,4,2166319
SingleFamily,575e3,1954,9588,1249,2,3,563240
SingleFamily,60492,1937,7661,1771,2,3,513018
SingleFamily,249479,1941,6098,1104,1,2,616473
Condominium,374971,2006,101198,2025,3,5,546592
SingleFamily,47775,1922,2705,758,1,2,1678518
SingleFamily,278025,1954,5000,1087,1,2,551187
SingleFamily,432960,1925,4997,864,2,2,529171
SingleFamily,453262,1923,4400,700,1,2,343191
SingleFamily,635e3,1913,18009,5046,4,4,5011356
SingleFamily,250284,1954,8511,1581,2,3,612516
Duplex,47753,1928,3940,1868,2,4,804965
SingleFamily,145894,1966,6089,1424,2,4,534009
SingleFamily,171100,1970,5101,876,2,3,435493
Duplex,369195,1921,7121,1660,2,4,645404
SingleFamily,723372,1926,2300,960,3,2,918175
SingleFamily,363026,1961,12310,2062,3,3,767535
SingleFamily,238428,1944,6251,999,1,3,561679
SingleFamily,358217,1969,18074,2348,3,4,720946
SingleFamily,756e3,1950,6534,2232,3,4,790878
SingleFamily,530400,1957,9180,1858,2,3,629083
Duplex,134659,1954,6009,3484,3,3,945800
SingleFamily,355527,1942,5388,1301,2,3,658574
SingleFamily,1319775,1949,6000,1415,2,3,1411335
SingleFamily,1933127,1940,15920,4133,4,5,6448559
SingleFamily,238981,1949,4980,856,1,2,921156
SingleFamily,153170,1951,8999,1932,3,4,854149
SingleFamily,243762,1926,5942,868,1,2,776832
SingleFamily,91512,1957,5935,1503,2,3,594602
SingleFamily,430774,2017,6357,3800,5.5,5,1204023
SingleFamily,397513,1978,3484,1492,3,3,623974
SingleFamily,159958,1949,6751,1182,1,2,524589
SingleFamily,2804648,1941,18181,3953,4.5,4,2943215
Condominium,293414,2002,111861,1799,3,4,492011
Duplex,406360,1929,5287,1176,2,2,409655
SingleFamily,623194,1903,6751,2416,2,4,912800
SingleFamily,553799,1974,7302,1941,3,3,902718
